,genes
398,EXOC7
399,PALM2
400,C2CD2L
401,EPB41L1
402,MICAL3
403,DYNC1H1
404,CSNK1E
405,DYNC1I2
406,NDUFB9
407,HSD17B4
408,RPL3
409,GNAI2
410,PRKAR2A
411,BRSK1
412,HNRNPA0
413,SFXN3
414,PTBP1
415,VDAC1
416,FMNL2
417,CORO1B
418,CYC1
419,EIF4A2
420,VCPIP1
421,EEF1G
422,TPM3
423,ROBO2
424,TUFM
425,ALDH5A1
426,DDX3X
427,EEF2
428,CANX
429,TUBB4B
430,CRMP1
431,SUCLA2
432,ENO1
433,GSN
434,OPA1
435,NEFL
436,DNAJA1
437,ARVCF
438,STIP1
439,TNPO1
440,ERLIN2
441,PCBP1
442,HSPD1
443,ADD1
444,ATP6V0A1
445,CACNA1E
446,CLTB
447,MYH10
448,HSP90B1
449,SBF1
