,genes
285,LAMTOR1
286,RHOG
287,ARF5
288,RALA
289,ARHGAP21
290,NGDN
291,DGKZ
292,MAGI1
293,SLC6A1
294,HSPB1
295,CACNG7
296,DNAJC13
297,ATP6V1E1
298,HUWE1
299,KALRN
300,DNAJB1
301,DOCK2
302,RAB4B
303,HDLBP
304,ATP2A2
305,SORBS1
306,CEP170
307,NTRK3
308,FIS1
309,MICAL3
310,DCHS2
311,ARFGAP2
312,LGI3
313,AKAP12
314,HECW2
315,STRAP
316,DYRK1A
317,PIK3C2B
318,CSNK2B
319,DSG1
320,RAB25
321,CDC42BPB
322,DLG5
323,BCR
324,SUMO1
325,BSG
326,TMEM230
327,OTUD7A
328,LRFN2
329,SORCS3
330,C3
331,LMNA
332,TOP2B
333,PLEC
334,ITPR3
335,ITGB1
336,PDZD11
337,ACTG2
338,EPHX1
339,SACS
340,ACTA1
341,ATM
342,APP
343,REEP5
344,ATP6V0C
345,DRP2
346,LRP1
347,RELA
348,ACTL6B
349,YWHAB
350,RAC3
351,AKT1
352,GNB4
353,PRDM13
354,GDI1
355,CPLX2
356,GPX4
357,RPL27
358,RGS6
359,KIAA1217
360,GNAT1
361,CELSR2
362,GRID1
363,PDE4D
364,PARN
365,PPP2CB
366,CDH8
367,CNTN5
368,GFAP
369,RAP1A
370,RAB6B
371,OCIAD1
372,CASKIN2
373,KIF1A
374,NRG1
375,IGSF8
376,RPL17
377,CSNK2A1
378,HSD17B4
379,ITM2C
380,RAP1B
381,RACGAP1
382,NCAM2
383,RPL18A
384,TJP1
385,TJP2
386,EEF1B2
387,RABGAP1L
388,CSRP1
389,ATP4A
390,GIT2
391,RAC1
392,PRKDC
393,NES
394,RPS28
395,FGF2
396,CAMSAP2
397,CCNY
398,DSCAML1
399,GABRB1
400,TPM4
401,SEC16A
402,RPS5
403,GLIPR2
404,UNC5C
405,ATP1B2
406,RPL34
407,PRRC2C
408,RPL19
409,CLASP1
410,DSTN
411,PRKG1
412,BLVRB
413,SPTBN4
414,MCM4
415,CRKL
416,LIMCH1
417,SCN8A
418,BCAP31
419,CNP
420,CHMP4B
421,LAMA5
422,MYH14
423,DDR1
424,GPI
425,UBR4
426,RAB3B
427,CTNND1
428,CNTNAP2
429,BAG6
430,SBF2
431,EFHD1
432,DDX39B
433,UBA1
434,ANXA2
435,MARCKSL1
436,CACNA1C
437,RAB13
438,GNAI3
439,CCDC88A
440,RAP2A
441,KIAA1109
442,PRPSAP2
443,RNH1
444,FASN
445,CLASP2
446,UBB
447,LRRTM4
448,VAT1
449,HNRNPL
450,MYCBP2
451,TIAM1
452,RPS15
453,EXOC6B
454,ARHGAP32
455,DSCAM
456,KCNH1
457,DIAPH1
458,HADH
459,USP24
460,NCAN
461,SPTA1
462,TMEFF1
463,EEF1D
464,SKIV2L
465,ANLN
466,GLRA2
467,CHD4
468,FAT3
469,CACNB4
470,ALYREF
471,MOG
472,PLXND1
473,L1CAM
474,DICER1
475,SIPA1L1
476,EHMT2
477,ROBO2
478,ABR
479,PAFAH1B2
480,EPHA5
481,HMOX2
482,PMVK
483,PCCA
484,STXBP5L
485,CLTB
486,HNRNPC
487,ATP2B4
488,PRKACB
489,CDH4
490,SYNE1
491,ACOT7
492,GNAI1
493,TUBB4A
494,AP2A2
495,PTK2
496,RPL7A
497,RALB
498,HCN1
499,ALDH7A1
500,KRT17
501,RAB7A
502,PSMC3
503,PCDH15
504,CHMP2B
505,EIF4A1
506,AKAP9
507,AP2B1
508,LLGL1
509,LAMA2
510,JPH3
511,NBEA
512,RDX
513,SIRT2
514,LRRK2
515,SNCB
516,RAB27B
