,genes
340,PAIP1
341,COX20
342,PTAR1
343,VIL1
344,RBP1
345,KRT86
346,TOP1MT
347,PCDHB14
348,POLR1D
349,CRABP2
350,ACP5
351,ALDH8A1
352,ITGA10
353,GZF1
354,CCNA1
355,FOXM1
356,NTMT1
357,GFPT2
358,FIGN
359,TRMT10C
360,RRM2B
361,UNC5CL
362,AP4B1
363,MPPE1
364,DDR2
365,KIF18A
366,TULP3
367,PIK3R1
368,ISY1
369,NMNAT1
370,WDR81
371,SERPINB5
372,PIGP
373,SIPA1
374,LRR1
375,MX1
376,ASB1
377,SLC25A24
378,SPP1
379,NEIL3
380,TBC1D4
381,MEIS1
382,MAP2K5
383,RUNX1T1
384,MRPL37
385,POLR2B
386,SRMS
387,TBC1D2
388,CYP19A1
389,ZNF346
390,NEU1
391,PREX2
392,AMOTL1
393,SEMA3A
394,ARSI
395,ZNF24
396,POLR2J3
397,ACAP2
398,AMD1
399,ZNF668
400,SLC35A5
401,ZNF117
402,IVNS1ABP
403,RGP1
404,CPED1
405,INTS2
406,NOTCH3
407,CA11
408,TMEM115
409,A1CF
410,GBA2
411,WNT2B
412,CHD1L
413,ZNF267
414,HNF4G
415,NFKB2
416,DHRS2
417,DMAP1
418,PARP3
419,HMGXB3
420,DDX23
421,KDM3A
422,FAM53B
423,ATP2C2
424,FAM110A
425,TTC17
426,ZFYVE16
427,DHCR7
428,PRICKLE1
429,LMLN
430,KANSL1
431,SH3BGRL
432,ECD
433,SLC25A23
434,ZNF624
435,SMC2
436,RHBDD2
437,SYCP2
438,GADD45GIP1
439,RNASEH2C
440,DNA2
441,FDFT1
442,PPP2R1B
443,NCOA3
444,RABGGTB
445,ZNF544
446,ARMC8
447,UPF3B
448,MET
449,RBPJ
